trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
69,quadbright,24.0,22,1,750.0181198120117,750.0169277191162,1126,1
70,quadbright,25.0,22,1,527.1430015563965,527.1410942077637,1496,1
71,quadbright,26.0,22,1,756.4289569854736,756.4280033111572,1399,1
72,quadbright,27.0,28,1,524.9569416046143,524.9509811401367,1109,1
73,quadbright,28.0,22,1,529.1430950164795,529.1380882263184,968,1
74,quadbright,5.0,22,1,66.55192375183105,461.2910747528076,832,1
75,quadbright,6.0,22,1,64.93687629699707,528.6848545074463,1432,1
76,quadbright,7.0,22,1,158.1718921661377,527.3058414459229,1133,1
77,quadbright,8.0,22,1,460.8290195465088,460.82186698913574,1102,1
78,quadbright,9.0,22,1,527.3289680480957,527.3268222808838,1416,1
79,quadbright,10.0,22,1,369.2898750305176,369.28677558898926,1355,1
80,quadbright,11.0,22,1,458.81032943725586,458.8050842285156,833,1
81,quadbright,12.0,22,1,528.3410549163818,528.3370018005371,856,1
82,quadbright,13.0,22,1,531.9128036499023,531.9066047668457,1424,1
83,quadbright,14.0,22,1,362.3311519622803,362.32805252075195,1341,1
84,quadbright,15.0,22,1,371.34814262390137,371.34599685668945,1332,1
85,quadbright,16.0,22,1,460.4930877685547,460.4911804199219,1103,1
86,quadbright,17.0,22,1,529.8120975494385,529.8099517822266,1242,1
87,quadbright,18.0,22,1,527.5928974151611,527.5897979736328,899,1
88,quadbright,19.0,22,1,464.2050266265869,464.2031192779541,868,1
89,quadbright,20.0,22,1,524.1191387176514,524.1169929504395,1253,1
90,quadbright,21.0,22,1,527.4989604949951,527.4970531463623,1324,1
91,quadbright,22.0,22,1,527.4829864501953,527.4789333343506,980,1
92,quadbright,23.0,22,1,827.7156352996826,827.7130126953125,864,1
93,quadbright,24.0,22,1,526.0417461395264,526.0400772094727,1286,1
94,quadbright,25.0,22,1,690.8557415008545,690.8540725708008,846,1
95,quadbright,26.0,22,1,1056.684970855713,1056.6818714141846,1179,1
96,quadbright,27.0,25,1,590.7347202301025,590.7320976257324,992,1
97,quadbright,28.0,22,1,528.0940532684326,528.0890464782715,1444,1
98,quadbright,5.0,19,1,65.90890884399414,527.5499820709229,1043,1
99,quadbright,6.0,19,1,64.5909309387207,428.77888679504395,1010,1
100,quadbright,7.0,19,1,65.70696830749512,426.6011714935303,1423,1
101,quadbright,8.0,19,1,458.9231014251709,458.9219093322754,800,1
102,quadbright,9.0,19,1,68.10688972473145,533.2727432250977,810,1
103,quadbright,10.0,19,1,421.43797874450684,421.4367866516113,1001,1
104,quadbright,11.0,19,1,532.9201221466064,532.9170227050781,1386,1
